Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-17356.1;GeekVape Z Subohm Tank, Rainbow;5;4;6;4
MF-17356.2;GeekVape Z Subohm Tank, Rot;4;1;3;6
MF-17356.3;GeekVape Z Subohm Tank, Schwarz;5;6;8;6
MF-17356.4;GeekVape Z Subohm Tank, Gunmetal;2;3;8;6
MF-17356.6;GeekVape Z Subohm Tank, Edelstahl;1;3;9;3
MF-17357;GeekVape Z Subohm Ersatzverdampferköpfe 5st., Z1 Coil 0,4Ohm;62;44;84;37
MF-17357.1;GeekVape Z Subohm Ersatzverdampferköpfe 5st., Z2 Coil 0,2Ohm;66;60;64;61
MF-17357.2;GeekVape Z Subohm Ersatzverdampferköpfe 5st., Z0,15 Coil;20;36;29;16
MF-17357.3;GeekVape Z Subohm Ersatzverdampferköpfe 5st., Z 0,25 Coil Ohm;9;7;13;3
MF-17368;Vapefly Kriemhild Ersatzverdampferköpfe 3st., Single Mesh Coil 0,2 Ohm;6;24;;30
MF-17368.1;Vapefly Kriemhild Ersatzverdampferköpfe 3st., Dual Mesh Coil 0,2 Ohm;6;;;8
MF-17368.2;Vapefly Kriemhild Ersatzverdampferköpfe 3st., Triple Mesh Coil 0,15 Ohm;13;9;3;7
MF-17377;GeekVape Z Subohm Ersatzglas, Bubbleglas 5ml;20;23;24;17
MF-17377.1;GeekVape Z Subohm Ersatzglas, normales Glas 3,5ml;4;8;1;
MF-17395;Uwell Crown Pod Kit Ersatzpods, 0,6 Ohm;1;1;;
MF-17407;Grape Soda Storm - Strapped Sodas Aroma 10ml;13;23;23;1
MF-17409.1;Watermelon - Yeti Nikotinsalz 10ml Liquid, 10mg Nikotinsalz;1;1;;
MF-17411;Orange Mango - Yeti Nikotinsalz 10ml Liquid, 20mg Nikotinsalz;13;17;23;11
MF-17411.1;Orange Mango - Yeti Nikotinsalz 10ml Liquid, 10mg Nikotinsalz;1;;;1
MF-17412;Honeydew Blackcurrant - Yeti Nikotinsalz 10ml Liquid, 20mg Nikotinsalz;1;5;6;6
MF-17412.1;Honeydew Blackcurrant - Yeti Nikotinsalz 10ml Liquid, 10mg Nikotinsalz;5;;10;10
MF-17414;Cherry Jam - 5EL Aroma 10ml;9;6;4;6
MF-17441;Blackcurrant Lychee - Primeval Aroma 10ml;6;1;11;
MF-17442;Grape Soda - Primeval Aroma 10ml;5;5;1;4
MF-17443;Lime Slushie - Primeval Aroma 10ml;5;;;
MF-17444;Orange Mango - Primeval Aroma 10ml;5;3;3;5
MF-17445;Strawberry Watermelon - Primeval Aroma 10ml;6;4;4;6
MF-17446;Tropical Punch - Primeval Aroma 10ml;2;3;4;5
MF-17480;ONE Blueberry - Dash Aroma 10ml;28;16;28;20
MF-17482;ONE Tobacco - Dash Aroma 10ml;20;7;17;7
MF-17483;ONE Tobacco Ice - Dash Aroma 10ml;5;;2;1
MF-17567;XENON - Antimatter Aroma 10ml;11;20;31;27
MF-17568;RADON - Antimatter Aroma 10ml;17;12;12;19
MF-17578.1;Smok Fetch Pro Kit Ersatzpod RPM/RGC 3st., RPM Pod;1;;;
MF-17628;Franktastische Coils - Matorious Big Ni80;4;;;
MF-17629;Franktastische Coils - Matorious Big V2A;2;;;
MF-17661.1;Smok RPM 80 Pro RGC/ RPM Leerpod, RPM Pod;4;;;
MF-17707.2;Vaptio Cosmo Ersatzcoils, C4 0,7 Ohm Coil;1;2;;
MF-17707.3;Vaptio Cosmo Ersatzcoils, C5 1,0 Ohm Coil;1;8;10;
MF-17707.4;Vaptio Cosmo Ersatzcoils, C6 0,7 Ohm Coil;1;3;3;3
MF-17729;Fids-Paff NikotinSalz 10ml 20mg 70VG/30PG;1560;913;831;948
MF-17730;Fids-Paff NikotinSalz 10ml 20mg 50VG/50PG;1340;1369;1260;1528
MF-17735;Yapma Yaa - Hayvan Juice Aroma 10ml;14;7;17;15
MF-17751;Fids-Paff Base 70VG/30PG 100ml;16;56;55;113
MF-17752;Fids-Paff Base 50PG/50VG 100ml;19;50;51;71
MF-17814;Volle Fresse Kirschlolli On ICE - Lädla Juice Aroma 10ml;4;29;40;9
MF-17827;Voopoo Drag X Pod Kit, Carbon Fiber;4;1;5;
MF-17827.1;Voopoo Drag X Pod Kit, Classic;5;;4;1
MF-17827.10;Voopoo Drag X Pod Kit, Fullblack;2;3;4;1
MF-17828.1;Voopoo PnP Coils, PnP VM4 Coil;5;8;2;1
MF-17828.11;Voopoo PnP Coils, PnP DW60 Coil;3;2;18;4
MF-17828.2;Voopoo PnP Coils, PnP VM1 Coil;36;15;17;18
MF-17828.3;Voopoo PnP Coils, PnP VM5 Coil;22;22;13;20
MF-17828.4;Voopoo PnP Coils, PnP VM6 Coil;23;32;15;20
MF-17828.7;Voopoo PnP Coils, PnP TM2 Coil;4;1;5;4
MF-17828.8;Voopoo PnP Coils, PnP TR1 Coil;4;3;4;
MF-17828.9;Voopoo PnP Coils, PnP VM3 Coil;2;2;8;12
MF-17834;Heisenberg - Vampire Vape Liquid 10ml, 3 mg;10;;;
MF-17834.1;Heisenberg - Vampire Vape Liquid 10ml, 6 mg;15;;20;20
MF-17834.3;Heisenberg - Vampire Vape Liquid 10ml, 0 mg;9;11;3;17
MF-17835.1;Pinkman - Vampire Vape Liquid 10ml, 6 mg;2;;;
MF-17846;Berry Menthol - Vampire Vape Liquid 10ml, 3 mg;9;7;;
MF-17846.2;Berry Menthol - Vampire Vape Liquid 10ml, 12 mg;6;;;
MF-17846.3;Berry Menthol - Vampire Vape Liquid 10ml, 0 mg;3;;15;5
MF-17850;Blood Sukka - Vampire Vape Liquid 10ml, 3 mg;7;8;8;1
MF-17850.1;Blood Sukka - Vampire Vape Liquid 10ml, 6 mg;11;13;;
MF-17851;Blueberry - Vampire Vape Liquid 10ml, 3 mg;3;;;
MF-17851.1;Blueberry - Vampire Vape Liquid 10ml, 6 mg;9;5;;
MF-17851.2;Blueberry - Vampire Vape Liquid 10ml, 12 mg;2;10;9;1
