Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-21463;SMOK IGEE A1 Kit, Black;1;1;1;
MF-21463.1;SMOK IGEE A1 Kit, Grey;1;;;
MF-21463.2;SMOK IGEE A1 Kit, Blue / Purple;1;;;
MF-21463.3;SMOK IGEE A1 Kit, Silver / Blue;1;1;;
MF-21463.4;SMOK IGEE A1 Kit, Blue / Green;1;1;;
MF-21463.5;SMOK IGEE A1 Kit, Blue / Grey;1;1;1;
MF-21464;SMOK IGEE Meshed Pod Tank Verdampfer 3st.;4;2;0;
MF-21465.3;GeekVape Aegis T200 Mod Akkuträger, Navy Blue;1;;;
MF-21471.1;BP MODS Lightsaber Pod Kit - Model S, Stainless Steel Bubinga;1;;1;
MF-21474;BP MODS Lightsaber Pod Tank Verdampfer - Ohne Coil;1;;;
MF-21476;BP MODS Lightsaber 510 Adapter Kit, Gunmetal;1;;;
MF-21476.1;BP MODS Lightsaber 510 Adapter Kit, Stainless Steel;1;;1;4
MF-21479;BP MODS TMD Mesh Serie Coil Verdampferkopf 5 St., 0,3 Ohm;1;3;1;9
MF-21479.1;BP MODS TMD Mesh Serie Coil Verdampferkopf 5 St., 0,8 Ohm;5;2;3;7
MF-21482;BP MODS TMD Pro Serie Coil Verdampferkopf 5 St., 1,05 Ohm;1;;0;6
MF-21489;Geekvape Z-Series XM Coil Verdampferkopf 5st.;4;9;6;3
MF-21490;Midnight Mango - Green Rocks Mints Aroma 10ml;6;2;1;1
MF-21493;DotMod dotPod Nano Pod Tank Verdampfer 2 St., 1,0 Ohm;7;2;6;5
MF-21493.1;DotMod dotPod Nano Pod Tank Verdampfer 2 St., 0,8 Ohm;8;11;6;
MF-21496;Dash One Nikotinsalz - Apple Ice, 20mg Nikotinsalz;5;;;
MF-21497;Dash One Nikotinsalz - Blueberry, 20mg Nikotinsalz;7;3;6;1
MF-21497.1;Dash One Nikotinsalz - Blueberry, 10mg Nikotinsalz;10;3;8;4
MF-21498;Dash One Nikotinsalz - Blueberry Ice, 20mg Nikotinsalz;5;4;7;1
MF-21498.1;Dash One Nikotinsalz - Blueberry Ice, 10mg Nikotinsalz;6;3;5;1
MF-21499.1;Dash One Nikotinsalz - Mango, 10mg Nikotinsalz;2;5;2;
MF-21500;Dash One Nikotinsalz - Mango Ice, 20mg Nikotinsalz;2;1;1;1
MF-21500.1;Dash One Nikotinsalz - Mango Ice, 10mg Nikotinsalz;2;7;2;1
MF-21501;Dash One Nikotinsalz - Strawberry, 20mg Nikotinsalz;4;1;7;18
MF-21502;Dash One Nikotinsalz - Strawberry Ice, 20mg Nikotinsalz;5;7;10;5
MF-21503;Dash One Nikotinsalz - Cherry, 20mg Nikotinsalz;1;1;1;4
MF-21505.1;Dash One Nikotinsalz - Watermelon, 10mg Nikotinsalz;2;5;2;2
MF-21506;Dash One Nikotinsalz - Watermelon Ice, 20mg Nikotinsalz;5;;11;1
MF-21506.1;Dash One Nikotinsalz - Watermelon Ice, 10mg Nikotinsalz;4;6;6;2
MF-21507;Ambition Mods Amazier MTL RTA Selbstwickler Tank, Gunmetal;1;;1;1
MF-21507.2;Ambition Mods Amazier MTL RTA Selbstwickler Tank, Schwarz;1;1;;
MF-21512;Mango Guava Palava - Strapped Sodas Aroma 10ml;2;;1;
MF-21513;Apricot Watermelon - Yeti Aroma 10ml;1;;2;
MF-21514;Blueberry Peach - Yeti Aroma 10ml;14;8;7;9
MF-21515;Orange Lemon - Yeti Aroma 10ml;5;;3;1
MF-21516;Passionfruit Lychee - Yeti Aroma 10ml;6;10;5;5
MF-21527;Nebelfee´s Feenchen 20mg Einweg E-Zigarette, Strawberry Milkshake;3;;;
MF-21527.1;Nebelfee´s Feenchen 20mg Einweg E-Zigarette, Erdbeer-Kiwi-Wassermelone;2;1;;
MF-21527.2;Nebelfee´s Feenchen 20mg Einweg E-Zigarette, Maracuja Vanilleeis;3;;;
MF-21528.1;Nebelfee´s Feenchen 0mg Einweg E-Zigarette, Erdbeer-Kiwi-Wassermelone;2;;;
MF-21530;Revoltage Bar Einweg E-Zigarette  0mg, Yellow Raspberry;2;1;4;11
MF-21530.1;Revoltage Bar Einweg E-Zigarette  0mg, Blue Cherry;3;2;3;11
MF-21531;Voopoo Drag H80S Kit, Black;1;4;5;2
MF-21531.2;Voopoo Drag H80S Kit, Brown;1;2;2;
MF-21531.3;Voopoo Drag H80S Kit, Golden;1;;2;
MF-21531.4;Voopoo Drag H80S Kit, Gray-carbon-fiber;4;1;2;3
MF-21531.5;Voopoo Drag H80S Kit, Plum-red;1;;3;
MF-21532;Voopoo PnP 2 Pod Tankverdampfer - ohne Coil;2;7;25;
MF-21533;Voopoo PnP-TW Coils, TW15 0,15 Ohm;8;5;15;
MF-21533.1;Voopoo PnP-TW Coils, TW20 0,2 Ohm;6;2;18;4
MF-21533.2;Voopoo PnP-TW Coils, TW30 0,3Ohm;10;11;9;10
MF-21534;Nevoks Feelin X Pod Kit, Gunmetal;3;1;;
MF-21534.2;Nevoks Feelin X Pod Kit, Red;1;1;;
MF-21534.3;Nevoks Feelin X Pod Kit, Green;1;1;1;
MF-21534.4;Nevoks Feelin X Pod Kit, Gold Pink;1;2;;1
MF-21534.5;Nevoks Feelin X Pod Kit, Dark Blue;4;1;1;
MF-21534.6;Nevoks Feelin X Pod Kit, Silver Blue;1;1;2;1
MF-21535;Nevoks Feelin X Leerpod ohne Coil;7;5;11;6
MF-21536;Nevoks SPL-10 Coils, 0,3 Ohm;4;10;5;4
MF-21536.1;Nevoks SPL-10 Coils, 0,6 Ohm;9;8;5;9
MF-21536.2;Nevoks SPL-10 Coils, 0,4 Ohm;4;3;2;1
MF-21536.3;Nevoks SPL-10 Coils, 1,0 Ohm;5;2;6;1
MF-21536.4;Nevoks SPL-10 Coils, 0,8 Ohm;9;15;8;5
MF-21538;Uwell Caliburn A3 Kit, Black;5;;7;31
MF-21538.1;Uwell Caliburn A3 Kit, Silver;6;;4;25
MF-21538.2;Uwell Caliburn A3 Kit, Red;7;;8;20
MF-21538.3;Uwell Caliburn A3 Kit, Green;1;;3;21
MF-21538.4;Uwell Caliburn A3 Kit, Blue;2;1;5;24
MF-21538.5;Uwell Caliburn A3 Kit, Gray;3;1;6;30
MF-21540;Uwell Caliburn A3 Pod Tankverdampfer 4st.;19;8;49;114
MF-21572;Geekvape Aegis U Kit, Gunmetal;4;2;1;
MF-21572.3;Geekvape Aegis U Kit, Silver;3;;1;
MF-21575;Lost Vape Centaurus M200 Mod, Gunmetal Grey;2;;;4
MF-21575.3;Lost Vape Centaurus M200 Mod, Midnight Club;2;2;;
MF-21575.4;Lost Vape Centaurus M200 Mod, Pink Planet;2;1;2;1
MF-21575.6;Lost Vape Centaurus M200 Mod, interstellar;3;;;1
MF-21575.8;Lost Vape Centaurus M200 Mod, Sorcerer-Magic;2;;1;2
MF-21575.9;Lost Vape Centaurus M200 Mod, Baby-Pink;2;;;2
MF-21576.1;Geekvape Obelisk U Kit, Orange;1;;;
MF-21577.1;Hellvape Hell200 Mod, Silver / Black;2;;;
MF-21577.2;Hellvape Hell200 Mod, Legend Black;2;;;1
MF-21584;Voopoo Vinci Pod SE Kit, Coffee Brown;1;;;
MF-21584.1;Voopoo Vinci Pod SE Kit, Flame Red;1;;;
MF-21584.2;Voopoo Vinci Pod SE Kit, Midnight Black;2;1;2;1
MF-21585;Voopoo Vinci Series V2 Pod 3St., 1,2 Ohm;4;1;;
MF-21585.1;Voopoo Vinci Series V2 Pod 3St., 0,8 Ohm;6;7;;
MF-21587.1;Eleaf iStick i80 Kit, Black;2;;;
MF-21589.1;Eleaf EC2-M Verdampferköpfe 5St., 0,3;9;5;6;
MF-21590;Voopoo Argus P1 Pod Kit, Gunmetal;1;;2;2
MF-21591;Voopoo Argus Pod Tank 2st - ohne Coil;15;10;11;8
MF-21595;Dünya - Hayvan Juice Aroma 10ml;2;26;23;14
MF-21598;Aroma King Bar 20mg Einweg E-Zigarette, Green Apple;1;;;
MF-21598.12;Aroma King Bar 20mg Einweg E-Zigarette, Blueberry Bubble Gum;1;;;
MF-21598.25;Aroma King Bar 20mg Einweg E-Zigarette, Unicorn Shake;1;;1;
MF-21599;Wanted Overdosed Nikotinsalz - Blaubeer, 20mg Nikotinsalz;42;;;
MF-21599.1;Wanted Overdosed Nikotinsalz - Blaubeer, 10mg Nikotinsalz;15;12;;
MF-21600;Wanted Overdosed Nikotinsalz - Grüner Apfel, 20mg Nikotinsalz;40;38;39;40
MF-21600.1;Wanted Overdosed Nikotinsalz - Grüner Apfel, 10mg Nikotinsalz;22;6;;
MF-21601;Wanted Overdosed Nikotinsalz - Himbeer Cassis, 20mg Nikotinsalz;15;;;
MF-21601.1;Wanted Overdosed Nikotinsalz - Himbeer Cassis, 10mg Nikotinsalz;17;13;;
MF-21602;Wanted Overdosed Nikotinsalz - Kokos Melone, 20mg Nikotinsalz;28;29;20;20
MF-21602.1;Wanted Overdosed Nikotinsalz - Kokos Melone, 10mg Nikotinsalz;6;13;19;10
MF-21603;Wanted Overdosed Nikotinsalz - Pfefferminz, 20mg Nikotinsalz;40;;20;
MF-21603.1;Wanted Overdosed Nikotinsalz - Pfefferminz, 10mg Nikotinsalz;2;14;10;12
MF-21604;Wanted Overdosed Nikotinsalz - Vanille Orange, 20mg Nikotinsalz;20;32;2;2
MF-21604.1;Wanted Overdosed Nikotinsalz - Vanille Orange, 10mg Nikotinsalz;13;;;
MF-21605;Wanted Overdosed Nikotinsalz - Zitrus, 20mg Nikotinsalz;38;2;;
MF-21605.1;Wanted Overdosed Nikotinsalz - Zitrus, 10mg Nikotinsalz;14;31;23;20
MF-21606;Wanted Overdosed Nikotinsalz - Wassermelone, 20mg Nikotinsalz;36;32;29;18
MF-21606.1;Wanted Overdosed Nikotinsalz - Wassermelone, 10mg Nikotinsalz;16;24;20;25
MF-21607;IMIST Mesh Cotton Pro 55mm;7;;3;
MF-21609.1;Dark Berries - Freezer Nikotinsalz 10ml, 10mg Nikotinsalz;1;;1;
MF-21610;Straw Melon - Freezer Nikotinsalz 10ml, 20mg Nikotinsalz;24;;;1
MF-21610.1;Straw Melon - Freezer Nikotinsalz 10ml, 10mg Nikotinsalz;13;8;1;5
MF-21611;Lemon Lime - Freezer Nikotinsalz 10ml, 20mg Nikotinsalz;1;6;3;
MF-21612;Red Green Apple - Freezer Nikotinsalz 10ml, 20mg Nikotinsalz;11;5;;3
MF-21612.1;Red Green Apple - Freezer Nikotinsalz 10ml, 10mg Nikotinsalz;13;11;2;
MF-21613.4;Innokin Endura Apex Kit, Green;1;2;;
MF-21617;Grape Bomb - K-Boom Salt 20mg 10ml Liquid;4;6;2;1
MF-21618;Green Bomb - K-Boom Salt 20mg 10ml Liquid;8;4;5;
MF-21621.1;Vaporesso Luxe X Pod Kit, Purple;1;;;1
MF-21621.4;Vaporesso Luxe X Pod Kit, Grey;1;;3;2
MF-21621.6;Vaporesso Luxe X Pod Kit, Blue;2;2;1;1
MF-21622;Vaporesso Luxe X M Ersatzpod 2st., 0,4 Ohm;22;3;13;13
MF-21622.1;Vaporesso Luxe X M Ersatzpod 2st., 0,8 Ohm;13;8;9;18
MF-21623;Heisenberg Bubblegum - Vampire Vape Liquid 10ml, 0 mg;9;;;
MF-21623.2;Heisenberg Bubblegum - Vampire Vape Liquid 10ml, 6 mg;10;;;3
MF-21623.3;Heisenberg Bubblegum - Vampire Vape Liquid 10ml, 12 mg;10;;;5
MF-21624;Heisenberg Cola - Vampire Vape Liquid 10ml, 0 mg;5;5;;
MF-21624.1;Heisenberg Cola - Vampire Vape Liquid 10ml, 3 mg;7;5;;6
MF-21624.2;Heisenberg Cola - Vampire Vape Liquid 10ml, 6 mg;8;5;;7
MF-21625;Heisenberg Grape - Vampire Vape Liquid 10ml, 0 mg;3;;;
MF-21625.1;Heisenberg Grape - Vampire Vape Liquid 10ml, 3 mg;6;4;3;
MF-21625.2;Heisenberg Grape - Vampire Vape Liquid 10ml, 6 mg;5;4;5;1
MF-21627;Heisenberg Orange - Vampire Vape Liquid 10ml, 0 mg;6;4;;
MF-21627.1;Heisenberg Orange - Vampire Vape Liquid 10ml, 3 mg;5;7;;
MF-21627.2;Heisenberg Orange - Vampire Vape Liquid 10ml, 6 mg;10;5;;
MF-21628;Orange Soda- Vampire Vape Liquid 10ml, 0 mg;6;5;;
MF-21628.1;Orange Soda- Vampire Vape Liquid 10ml, 3 mg;3;7;;
MF-21628.2;Orange Soda- Vampire Vape Liquid 10ml, 6 mg;12;9;4;
MF-21628.3;Orange Soda- Vampire Vape Liquid 10ml, 12 mg;10;;;
MF-21629;Pineapple Grapefruit- Vampire Vape Liquid 10ml, 0 mg;5;6;4;
MF-21629.1;Pineapple Grapefruit- Vampire Vape Liquid 10ml, 3 mg;5;5;8;7
MF-21629.2;Pineapple Grapefruit- Vampire Vape Liquid 10ml, 6 mg;5;11;5;3
MF-21629.3;Pineapple Grapefruit- Vampire Vape Liquid 10ml, 12 mg;11;10;;
MF-21630;Cola - Vampire Vape Liquid 10ml, 0 mg;6;;5;4
MF-21630.1;Cola - Vampire Vape Liquid 10ml, 3 mg;6;5;5;4
MF-21630.2;Cola - Vampire Vape Liquid 10ml, 6 mg;5;5;5;5
MF-21630.3;Cola - Vampire Vape Liquid 10ml, 12 mg;5;;5;
MF-21633;Linvo Pod Lite Prefilled Pod System, Violet;6;4;3;1
MF-21633.1;Linvo Pod Lite Prefilled Pod System, Jade Green;4;3;5;
MF-21633.2;Linvo Pod Lite Prefilled Pod System, Sakura Pink;7;3;5;
MF-21633.3;Linvo Pod Lite Prefilled Pod System, Dark Blue;4;7;5;1
MF-21633.4;Linvo Pod Lite Prefilled Pod System, Sunset Gold;3;1;4;
MF-21633.5;Linvo Pod Lite Prefilled Pod System, Metal Gray;6;1;5;3
MF-21633.6;Linvo Pod Lite Prefilled Pod System, Starry Blue;4;5;5;1
MF-21634;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Pink Lemonade;14;29;29;18
MF-21634.1;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Grape Ice;40;24;15;11
MF-21634.10;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Blueberry Mint;52;17;8;19
MF-21634.11;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Kiwi Passion Fruit Lime;36;26;40;41
MF-21634.12;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Strawberry Lime;7;17;1;7
MF-21634.13;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Rainbow Candy;3;11;14;7
MF-21634.14;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Raspberry Grapefruit Orange;46;16;23;26
MF-21634.15;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Strawberry Kiwi;18;25;35;16
MF-21634.16;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Strawberry Ice;28;28;18;3
MF-21634.17;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Menthol Breeze;35;14;12;20
MF-21634.18;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Cherry Ice;38;25;17;14
MF-21634.2;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Watermelon Ice;65;32;27;20
MF-21634.3;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Mango Ice;25;23;13;12
MF-21634.4;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Fresh Apple;6;10;8;8
MF-21634.5;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Juicy Peach;40;21;27;23
MF-21634.6;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Blue Razz Ice;58;14;24;3
MF-21634.7;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Cherry Cola Ice;27;17;10;13
MF-21634.8;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Strawberry Ice Cream;20;30;15;13
MF-21634.9;Linvo Pod Lite Prefilled Pods 2ml 2er Pack, Storm Drink;26;19;22;12
MF-21636;Uwell Caliburn Tenet Pod Kit, carbon-black;7;8;6;4
MF-21636.1;Uwell Caliburn Tenet Pod Kit, iron-gray;7;3;9;3
MF-21636.3;Uwell Caliburn Tenet Pod Kit, copper-red;7;7;6;3
MF-21637;Uwell Caliburn Tenet Koko Pod Kit, Copper;6;;7;2
MF-21637.1;Uwell Caliburn Tenet Koko Pod Kit, Gray;8;;2;2
MF-21637.2;Uwell Caliburn Tenet Koko Pod Kit, Red-Black;2;3;6;2
MF-21637.3;Uwell Caliburn Tenet Koko Pod Kit, Black-White;5;2;;2
MF-21639.2;Geekvape Legend 2 Classic Kit, Beige;1;1;1;
MF-21639.5;Geekvape Legend 2 Classic Kit, Volcanic-Grey;1;;;
MF-21640.1;Vaporesso Luxe XR Pod Kit, Gold;1;1;;
MF-21640.2;Vaporesso Luxe XR Pod Kit, Black;2;2;;
MF-21640.6;Vaporesso Luxe XR Pod Kit, Galaxy Purple;2;;2;1
MF-21641;Vaporesso Luxe XR Ersatzpod 2st. ohne Coil, MTL;2;6;3;13
MF-21641.1;Vaporesso Luxe XR Ersatzpod 2st. ohne Coil, RDL;2;7;5;14
MF-21642.2;YIHI SXmini Vi Class Kit, Blue-White;1;1;;
MF-21642.5;YIHI SXmini Vi Class Kit, Purple-Coral-White;1;;;
MF-21643;YIHI SXmini VP Pod Tank Verdampfer 2St., P20 0,8 Ohm;2;1;;
MF-21643.1;YIHI SXmini VP Pod Tank Verdampfer 2St., P15 1,0 Ohm;2;1;1;
MF-21643.2;YIHI SXmini VP Pod Tank Verdampfer 2St., P40 0,4 Ohm;2;6;4;4
MF-21646;Honeydew Blackcurrant - Yeti Liquid 50ml;4;;;
MF-21648;Watermelon - Yeti Liquid 50ml;1;;4;2
MF-21652.1;Monstaahh - Dampfdidas10ml Nikotinsalz, 10mg Nikotinsalz;4;;;
MF-21658.3;Voopoo Drag 4 Mod Akkuträger, Gunmetal-Rosewood;2;;2;
MF-21660;BP Mods Labs RTA, Black;2;;2;
MF-21660.1;BP Mods Labs RTA, Silver;3;1;1;
MF-21661;Voopoo Uforce L Tank Verdampfer, Gunmetal;1;;1;1
MF-21661.1;Voopoo Uforce L Tank Verdampfer, Black;2;;2;2
MF-21661.2;Voopoo Uforce L Tank Verdampfer, Silver;3;;1;
MF-21662;Voopoo Uforce L Ersatzglas, Bauchglas 5,5ml;1;;;4
MF-21663;Voopoo Uforce L 810er Drip Tip;16;;;
MF-21665;WHITE KING - Dampflion Aroma 10ml;783;125;176;
MF-21666;WHITE QUEEN - Dampflion Aroma 10ml;146;23;332;
MF-21667;WHITE PAWN - Dampflion Aroma 10ml;5042;976;56;
MF-21668;WHITE ROOK - Dampflion Aroma 10ml;28;2;202;
MF-21669;WHITE BISHOP - Dampflion Aroma 10ml;192;262;212;
MF-21671;BLACK KNIGHT - Dampflion Aroma 10ml;25;6;3;
MF-21672;BLACK KING - Dampflion Aroma 10ml;540;22;26;
MF-21673;BLACK QUEEN - Dampflion Aroma 10ml;1409;42;1054;
MF-21674;BLACK BISHOP - Dampflion Aroma 10ml;26;734;211;
MF-21675;BLACK ROOK - Dampflion Aroma 10ml;28;2;2;
MF-21676;WHITE KNIGHT - Dampflion Aroma 10ml;170;125;594;
MF-21677;BLACK PAWN - Dampflion Aroma 10ml;91;13;357;
MF-21678;Kanzy - Vagrand Aroma 20ml;9;;;
MF-21683;Drip It - Vagrand Aroma 20ml;1;;;
MF-21696;Asterion - Antimatter Aroma 10ml;20;;;
MF-21697;Black Hole - Antimatter Aroma 10ml;29;6;;
MF-21698;Deuterium - Antimatter Aroma 10ml;26;;;
MF-21699;Eleria - Antimatter Aroma 10ml;15;;;
MF-21700;Proxima - Antimatter Aroma 10ml;22;;;
MF-21701;Neutrino - Antimatter Aroma 10ml;108;6;;
MF-21702;Helios - Antimatter Aroma 10ml;43;;;
MF-21703;XENON - Antimatter Aroma 10ml;18;6;;
MF-21704;RADON - Antimatter Aroma 10ml;24;;;
MF-21705.3;Sawyer Dessert - Tom Klark`s Liquid 10ml, 12mg;5;;1;
MF-21709;Sawyer Klassic - Tom Klark`s Liquid 10ml, 0 mg;1;;;
MF-21709.1;Sawyer Klassic - Tom Klark`s Liquid 10ml, 3 mg;1;;;
MF-21709.2;Sawyer Klassic - Tom Klark`s Liquid 10ml, 6 mg;2;;;
MF-21709.3;Sawyer Klassic - Tom Klark`s Liquid 10ml, 12mg;5;;;
MF-21710.2;Love - Tom Klark`s Liquid 10ml, 6 mg;3;;;
MF-21710.3;Love - Tom Klark`s Liquid 10ml, 12mg;7;;3;
MF-21712.3;Blauer Rausch - Tom Klark`s Liquid 10ml, 12mg;5;;;
MF-21713.1;Weißer Hahn - Tom Klark`s Liquid 10ml, 3 mg;7;3;1;1
MF-21713.2;Weißer Hahn - Tom Klark`s Liquid 10ml, 6 mg;6;;3;3
MF-21713.3;Weißer Hahn - Tom Klark`s Liquid 10ml, 12mg;5;1;1;4
MF-21714.1;Schwarzer Hahn - Tom Klark`s Liquid 10ml, 3 mg;2;;;
MF-21714.2;Schwarzer Hahn - Tom Klark`s Liquid 10ml, 6 mg;1;;;
MF-21714.3;Schwarzer Hahn - Tom Klark`s Liquid 10ml, 12mg;5;;;
MF-21715.1;Dark Menthol - Tom Klark`s Liquid 10ml, 3 mg;1;;;
MF-21715.3;Dark Menthol - Tom Klark`s Liquid 10ml, 12mg;6;1;;
MF-21716.1;Der Zipfel, der Zapfel - Tom Klark`s Liquid 10ml, 3 mg;3;;;
MF-21716.3;Der Zipfel, der Zapfel - Tom Klark`s Liquid 10ml, 12mg;5;1;5;
MF-21722;Alphavirus - Alphavirus Aroma 5ml;3;;;1
MF-21723;Die Infektion - Alphavirus Aroma 5ml;2;;8;
MF-21724;Outbreak - Alphavirus Aroma 5ml;3;1;;1
MF-21733;Antidote - Alphavirus Aroma 5ml;2;1;;
MF-21735;Red Pawn - Dampflion Aroma 10ml;1163;567;627;1820
MF-21736;Green Pawn - Dampflion Aroma 10ml;5252;1684;974;2533
MF-21737;Purple Pawn - Dampflion Aroma 10ml;2744;4214;1880;1389
MF-21755;DIY - Fiftyfifty Base 140ml - 50VG/50PG;3;;;
MF-21756;Pflaume - KTS Tea Serie Aroma 10ml;1;;4;3
MF-21768;Der Zipfel, der Zapfel - Tom Klark`s Aroma 10ml;2;;10;2
MF-21770;Yellow Raspberry - Revoltage Aroma 15ml;4;;;
MF-21773;Dark Menthol - Tom Klark`s Aroma 10ml;21;12;8;6
MF-21775;Sawyer Dessert - Tom Klark`s Aroma 10ml;1;4;5;
MF-21776;Schwarzer Hahn - Tom Klark`s Aroma 10ml;6;10;6;6
MF-21777;Blauer Rausch - Tom Klark`s Aroma 10ml;2;;3;1
MF-21778;Weißer Hahn - Tom Klark`s Aroma 10ml;5;5;7;8
MF-21779;Sawyer Classic - Tom Klark`s Aroma 10ml;4;4;5;4
MF-21780;Elysium - Tom Klark`s Aroma 10ml;3;1;2;
MF-21781;Pâtisserie  - Tom Klark`s Aroma 10ml;2;4;3;
MF-21782;Love - Tom Klark`s Aroma 10ml;5;5;6;5
MF-21783;Sawyer Rauchig - Tom Klark`s Aroma 10ml;6;4;4;3
MF-21784;#2 Johannisbeere-Minze - Tom Klark`s Aroma 10ml;5;1;2;2
MF-21785;#3 Zitrone-Kirsch - Tom Klark`s Aroma 10ml;7;2;5;
MF-21796;Aspire Cyber S Pod Kit, Gunmetal;1;;1;
MF-21796.1;Aspire Cyber S Pod Kit, Black;1;2;1;1
MF-21796.2;Aspire Cyber S Pod Kit, Royal Blue;1;1;;
MF-21796.3;Aspire Cyber S Pod Kit, Red;1;;1;
MF-21796.4;Aspire Cyber S Pod Kit, Hunter-Green;1;;1;
MF-21797.1;Aspire Cyber X Pod Kit, Pearl-Silver;2;1;;
MF-21797.5;Aspire Cyber X Pod Kit, Sage-Green;1;;;
MF-21798;Aspire TSX Pod Tank Verdampfer, 0,8 Ohm Mesh Coil;18;4;5;12
MF-21798.1;Aspire TSX Pod Tank Verdampfer, 1,0 Ohm Mesh Coil;14;1;;5
MF-21799.1;Voopoo Argus Z Pod Kit, White;1;2;;
MF-21799.3;Voopoo Argus Z Pod Kit, Mint-Silver;1;1;0;
MF-21799.6;Voopoo Argus Z Pod Kit, Rose-Pink;1;;;
MF-21800;Eleaf iStick i40 Kit, Cyan;2;;1;
MF-21800.1;Eleaf iStick i40 Kit, Black;1;;;
MF-21800.2;Eleaf iStick i40 Kit, Greenery;1;;;
MF-21800.3;Eleaf iStick i40 Kit, Neon-Orange;1;;;1
MF-21831;Eleaf GTL D20 Tank Verdampfer, Black;1;;;
MF-21852;Lost Mary BM600 CP Einweg E-Zigarette, Pink Lemonade;2;;5;
MF-21852.1;Lost Mary BM600 CP Einweg E-Zigarette, Watermelon Ice;15;;5;
MF-21852.10;Lost Mary BM600 CP Einweg E-Zigarette, Triple Mango;24;10;8;
MF-21852.11;Lost Mary BM600 CP Einweg E-Zigarette, Triple Melon;4;5;7;6
MF-21852.12;Lost Mary BM600 CP Einweg E-Zigarette, Grape;10;;3;
MF-21852.13;Lost Mary BM600 CP Einweg E-Zigarette, Juicy Peach;16;14;4;2
MF-21852.14;Lost Mary BM600 CP Einweg E-Zigarette, Pineapple Ice;19;3;4;
MF-21852.15;Lost Mary BM600 CP Einweg E-Zigarette, Cherry Ice;18;10;3;
MF-21852.16;Lost Mary BM600 CP Einweg E-Zigarette, Red Apple Ice;10;1;5;1
MF-21852.2;Lost Mary BM600 CP Einweg E-Zigarette, Strawberry Ice;2;;6;
MF-21852.3;Lost Mary BM600 CP Einweg E-Zigarette, Blue Razz Ice;8;2;3;3
MF-21852.4;Lost Mary BM600 CP Einweg E-Zigarette, Blueberry Sour Raspberry;2;11;9;
MF-21852.5;Lost Mary BM600 CP Einweg E-Zigarette, Kiwi Passion Fruit Guava;6;11;3;
MF-21852.6;Lost Mary BM600 CP Einweg E-Zigarette, Blueberry;3;1;3;1
MF-21852.7;Lost Mary BM600 CP Einweg E-Zigarette, Cotton Candy Ice;6;2;7;
MF-21852.8;Lost Mary BM600 CP Einweg E-Zigarette, Crazy Apple;2;1;5;4
MF-21852.9;Lost Mary BM600 CP Einweg E-Zigarette, Marygy Ice;3;;3;
MF-21853;Apple Rain - Monsoon Liquid 10ml, 20mg Nikotinsalz;1;;;
MF-21854.1;Cola Cloud - Monsoon Liquid 10ml, 10mg Nikotinsalz;5;;1;
MF-21858;Fresh Lime Soda - Monsoon Liquid 10ml, 20mg Nikotinsalz;1;;;2
MF-21866;M - Must Have Aroma 10ml;15;107;2;
MF-21867;Calipter - Big Bottle Aroma 10ml;23;13;17;4
MF-21868;U - Must Have Aroma 10ml;35;;29;
MF-21869;Dragon Drop - Big Bottle Aroma 10ml;8;8;18;10
MF-21870;Fresh Strawberry - Big Bottle Aroma 10ml;22;9;25;13
MF-21871;Grandma`s Vanilla Custard - Big Bottle Aroma 10ml;5;18;17;11
MF-21872;Happy Berries - Big Bottle Aroma 10ml;28;18;22;10
MF-21873;Happy Fruits - Big Bottle Aroma 10ml;23;36;18;21
MF-21874;Indiana Tabak - Big Bottle Aroma 10ml;9;10;17;7
MF-21875;V - Must Have Aroma 10ml;36;26;26;
MF-21876;Tropical Tsunami - Big Bottle Aroma 10ml;14;11;26;11
MF-21877;E - Must Have Aroma 10ml;4;;23;
MF-21878;# - Must Have Aroma 10ml;33;54;24;
MF-21879;! - Must Have Aroma 10ml;24;308;15;
MF-21880;S - Must Have Aroma 10ml;2;;1;
MF-21881;#1 Erdbeere - Tom Klark`s Aroma 10ml;8;13;0;10
MF-21882;T - Must Have Aroma 10ml;13;172;13;
MF-21883;H - Must Have Aroma 10ml;3;2;1;
MF-21884;A - Must Have Aroma 10ml;9;4;1;
